Date,Time,Energy_consumption,Cost,Output
7/2/2010,12:00:00 PM,0.5433724865193355,0.0666,Attack
7/2/2010,12:10:00 PM,0.6429633017755768,0.0852,Attack
7/2/2010,12:20:00 PM,1.2112226571818143,0.1879968,Attack
7/2/2010,12:30:00 PM,0.8691159335233364,0.12680639999999999,Attack
7/2/2010,12:40:00 PM,0.6762923622658891,0.0924,Attack
7/2/2010,12:50:00 PM,0.6749464178911054,0.0924,Attack
7/2/2010,1:00:00 PM,1.3692129634900845,0.217572,Attack
7/2/2010,1:10:00 PM,0.672802794392537,0.0924,Attack
7/2/2010,1:20:00 PM,0.6718518919631876,0.0924,Attack
7/2/2010,1:30:00 PM,1.1305310337080934,0.1751304,Attack
7/2/2010,1:40:00 PM,0.49909573983447336,0.06164159999999999,Attack
7/2/2010,1:50:00 PM,0.262349870398621,0.0192,Attack
7/2/2010,2:00:00 PM,0.5138428544907515,0.06464400000000001,Attack
7/2/2010,2:10:00 PM,0.8332805335432778,0.1223184,Attack
7/2/2010,2:20:00 PM,0.4527762681433008,0.054000000000000006,Attack
7/2/2010,2:30:00 PM,0.6795956250144107,0.094992,Attack
7/2/2010,2:40:00 PM,1.1719812947738617,0.1837728,Attack
7/2/2010,2:50:00 PM,1.0536182250021644,0.1626,Attack
7/2/2010,3:00:00 PM,0.916352287083113,0.138,Attack
7/2/2010,3:10:00 PM,1.5316557958499217,0.24883200000000003,Attack
7/2/2010,3:20:00 PM,0.9953065349741165,0.15233039999999998,Attack
7/2/2010,3:30:00 PM,0.9156936082581612,0.138,Attack
7/2/2010,3:40:00 PM,1.2717367708737803,0.20204160000000002,Attack
7/2/2010,3:50:00 PM,0.7727392284589362,0.1121256,Attack
7/2/2010,4:00:00 PM,0.33732055918074694,0.0336,Attack
7/2/2010,4:10:00 PM,0.6638697477226324,0.092172,Attack
7/2/2010,4:20:00 PM,1.006531653994974,0.1535856,Attack
7/2/2010,4:30:00 PM,0.5084202398662494,0.0636,Attack
7/2/2010,4:40:00 PM,0.563525211032608,0.0731328,Attack
7/2/2010,4:50:00 PM,1.1087653982881989,0.1708296,Attack
7/2/2010,5:00:00 PM,0.4358555362595749,0.0492,Attack
7/2/2010,5:10:00 PM,0.43898643145851307,0.0492,Attack
7/2/2010,5:20:00 PM,1.1244785119552791,0.1719696,Attack
7/2/2010,5:30:00 PM,0.49279541807872196,0.0575952,Attack
7/2/2010,5:40:00 PM,0.363490960643926,0.0336,Attack
7/2/2010,5:50:00 PM,0.9320227736258762,0.1351704,Attack
7/2/2010,6:00:00 PM,0.5356726552719169,0.0630216,Attack
7/2/2010,6:10:00 PM,0.4335602587101826,0.0438,Attack
7/2/2010,6:20:00 PM,0.6472034601655314,0.081384,Attack
7/2/2010,6:30:00 PM,1.6235187332722312,0.25622399999999995,Attack
7/2/2010,6:40:00 PM,1.0651415250070035,0.1548,Attack
7/2/2010,6:50:00 PM,1.013639962457107,0.1446,Attack
7/2/2010,7:00:00 PM,0.895515219985826,0.1224,Attack
7/2/2010,7:10:00 PM,1.4888685433621323,0.228264,Attack
7/2/2010,7:20:00 PM,1.0026015944156705,0.1398,Attack
7/2/2010,7:30:00 PM,0.6644167800959477,0.078,Attack
7/2/2010,7:40:00 PM,0.6694842301223111,0.078,Attack
7/2/2010,7:50:00 PM,0.7144420877090633,0.0852,Attack
7/2/2010,8:00:00 PM,0.560663444804448,0.056652,Attack
7/2/2010,8:10:00 PM,1.0955232535599313,0.152088,Attack
7/2/2010,8:20:00 PM,0.6717318793473698,0.075,Attack
7/2/2010,8:30:00 PM,0.5793352942326465,0.0576,Attack
7/2/2010,8:40:00 PM,0.6233819100621029,0.0648,Attack
7/2/2010,8:50:00 PM,0.6271893838892905,0.0648,Attack
7/2/2010,9:00:00 PM,0.7274113953637545,0.0822,Attack
7/2/2010,9:10:00 PM,0.6907043959216121,0.075,Attack
7/2/2010,9:20:00 PM,0.5970609964918022,0.0576,Attack
7/2/2010,9:30:00 PM,0.5198099939632422,0.0432,Attack
7/2/2010,9:40:00 PM,0.5222830368456978,0.0432,Attack
7/2/2010,9:50:00 PM,0.5244812640683588,0.0432,Attack
7/2/2010,10:00:00 PM,0.526408584361226,0.0432,Attack
7/2/2010,10:10:00 PM,0.6247382638221307,0.0606,Attack
7/2/2010,10:20:00 PM,0.5294794894199689,0.0432,Attack
7/2/2010,10:30:00 PM,0.5306439096559995,0.0432,Attack
7/2/2010,10:40:00 PM,0.5315788203992127,0.0432,Attack
7/2/2010,10:50:00 PM,0.6289669973632002,0.0606,Attack
7/2/2010,11:00:00 PM,0.5328265101328843,0.0432,Attack
7/2/2010,11:10:00 PM,0.4131771860805847,0.0216,Attack
