Date,Time,Energy_consumption,Cost,Output
7/2/2010,12:00:00 PM,0.555,0.0666,Normal
7/2/2010,12:10:00 PM,0.71,0.0852,Normal
7/2/2010,12:20:00 PM,1.56664,0.1879968,Normal
7/2/2010,12:30:00 PM,1.05672,0.12680639999999999,Normal
7/2/2010,12:40:00 PM,0.77,0.0924,Normal
7/2/2010,12:50:00 PM,0.77,0.0924,Normal
7/2/2010,1:00:00 PM,1.8131,0.217572,Normal
7/2/2010,1:10:00 PM,0.77,0.0924,Normal
7/2/2010,1:20:00 PM,0.77,0.0924,Normal
7/2/2010,1:30:00 PM,1.4594200000000002,0.1751304,Normal
7/2/2010,1:40:00 PM,0.51368,0.06164159999999999,Normal
7/2/2010,1:50:00 PM,0.16,0.0192,Normal
7/2/2010,2:00:00 PM,0.5387,0.06464400000000001,Normal
7/2/2010,2:10:00 PM,1.01932,0.1223184,Normal
7/2/2010,2:20:00 PM,0.45,0.054000000000000006,Normal
7/2/2010,2:30:00 PM,0.7916,0.094992,Normal
7/2/2010,2:40:00 PM,1.53144,0.1837728,Normal
7/2/2010,2:50:00 PM,1.355,0.1626,Normal
7/2/2010,3:00:00 PM,1.15,0.138,Normal
7/2/2010,3:10:00 PM,2.0736,0.24883200000000003,Normal
7/2/2010,3:20:00 PM,1.26942,0.15233039999999998,Normal
7/2/2010,3:30:00 PM,1.15,0.138,Normal
7/2/2010,3:40:00 PM,1.6836799999999998,0.20204160000000002,Normal
7/2/2010,3:50:00 PM,0.9343799999999999,0.1121256,Normal
7/2/2010,4:00:00 PM,0.28,0.0336,Normal
7/2/2010,4:10:00 PM,0.7681,0.092172,Normal
7/2/2010,4:20:00 PM,1.27988,0.1535856,Normal
7/2/2010,4:30:00 PM,0.53,0.0636,Normal
7/2/2010,4:40:00 PM,0.60944,0.0731328,Normal
7/2/2010,4:50:00 PM,1.4235799999999998,0.1708296,Normal
7/2/2010,5:00:00 PM,0.41,0.0492,Normal
7/2/2010,5:10:00 PM,0.41,0.0492,Normal
7/2/2010,5:20:00 PM,1.43308,0.1719696,Normal
7/2/2010,5:30:00 PM,0.47996000000000005,0.0575952,Normal
7/2/2010,5:40:00 PM,0.28,0.0336,Normal
7/2/2010,5:50:00 PM,1.12642,0.1351704,Normal
7/2/2010,6:00:00 PM,0.52518,0.0630216,Normal
7/2/2010,6:10:00 PM,0.365,0.0438,Normal
7/2/2010,6:20:00 PM,0.6782,0.081384,Normal
7/2/2010,6:30:00 PM,2.1352,0.25622399999999995,Normal
7/2/2010,6:40:00 PM,1.29,0.1548,Normal
7/2/2010,6:50:00 PM,1.205,0.1446,Normal
7/2/2010,7:00:00 PM,1.02,0.1224,Normal
7/2/2010,7:10:00 PM,1.9022,0.228264,Normal
7/2/2010,7:20:00 PM,1.165,0.1398,Normal
7/2/2010,7:30:00 PM,0.695475102086353,0.078,Attack
7/2/2010,7:40:00 PM,0.70003580711008,0.078,Attack
7/2/2010,7:50:00 PM,0.749497878938157,0.0852,Attack
7/2/2010,8:00:00 PM,0.5754121003240031,0.056652,Attack
7/2/2010,8:10:00 PM,1.2674,0.152088,Normal
7/2/2010,8:20:00 PM,0.6983086914126329,0.075,Attack
7/2/2010,8:30:00 PM,0.5934017648093818,0.0576,Attack
7/2/2010,8:40:00 PM,0.6420437190558925,0.0648,Attack
7/2/2010,8:50:00 PM,0.6454704455003615,0.0648,Attack
7/2/2010,9:00:00 PM,0.757420255827379,0.0822,Attack
7/2/2010,9:10:00 PM,0.715383956329451,0.075,Attack
7/2/2010,9:20:00 PM,0.6093548968426219,0.0576,Attack
7/2/2010,9:30:00 PM,0.5218289945669181,0.0432,Attack
7/2/2010,9:40:00 PM,0.524054733161128,0.0432,Attack
7/2/2010,9:50:00 PM,0.526033137661523,0.0432,Attack
7/2/2010,10:00:00 PM,0.5277677259251035,0.0432,Attack
7/2/2010,10:10:00 PM,0.6380144374399176,0.0606,Attack
7/2/2010,10:20:00 PM,0.5305315404779721,0.0432,Attack
7/2/2010,10:30:00 PM,0.5315795186903997,0.0432,Attack
7/2/2010,10:40:00 PM,0.5324209383592915,0.0432,Attack
7/2/2010,10:50:00 PM,0.6418202976268801,0.0606,Attack
7/2/2010,11:00:00 PM,0.5335438591195959,0.0432,Attack
7/2/2010,11:10:00 PM,0.39885946747252626,0.0216,Attack
7/2/2010,11:20:00 PM,0.35403635333895067,0.0144,Attack
7/2/2010,11:30:00 PM,0.2985949255394653,0.005520000000000001,Attack
7/2/2010,11:40:00 PM,0.2985565530663826,0.005520000000000001,Attack
7/2/2010,11:50:00 PM,0.4071933387109896,0.02292,Attack
7/3/2010,12:00:00 AM,0.191,0.02292,Normal
7/3/2010,12:10:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,12:20:00 AM,0.191,0.02292,Normal
7/3/2010,12:30:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,12:40:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,12:50:00 AM,0.191,0.02292,Normal
7/3/2010,1:00:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,1:10:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,1:20:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,1:30:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,1:40:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,1:50:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:00:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:10:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:20:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:30:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:40:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,2:50:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:00:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:10:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:20:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:30:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:40:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,3:50:00 AM,0.12,0.0144,Normal
7/3/2010,4:00:00 AM,0.12,0.0144,Normal
7/3/2010,4:10:00 AM,0.12,0.0144,Normal
7/3/2010,4:20:00 AM,0.265,0.0318,Normal
7/3/2010,4:30:00 AM,0.191,0.02292,Normal
7/3/2010,4:40:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,4:50:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,5:00:00 AM,0.191,0.02292,Normal
7/3/2010,5:10:00 AM,0.191,0.02292,Normal
7/3/2010,5:20:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,5:30:00 AM,0.046,0.005520000000000001,Normal
7/3/2010,5:40:00 AM,0.191,0.02292,Normal
7/3/2010,5:50:00 AM,0.1,0.012,Normal
7/3/2010,6:00:00 AM,0.1,0.012,Normal
7/3/2010,6:10:00 AM,0.1,0.012,Normal
7/3/2010,6:20:00 AM,0.1,0.012,Normal
7/3/2010,6:30:00 AM,0.1,0.012,Normal
7/3/2010,6:40:00 AM,0.2596273725063032,0.012,Attack
7/3/2010,6:50:00 AM,0.3092759662113962,0.0192,Attack
7/3/2010,7:00:00 AM,0.31396369798724333,0.0192,Attack
7/3/2010,7:10:00 AM,0.3186616890259192,0.0192,Attack
7/3/2010,7:20:00 AM,0.43209143497410357,0.0366,Attack
7/3/2010,7:30:00 AM,0.32797510208635294,0.0192,Attack
7/3/2010,7:40:00 AM,0.3325358071100799,0.0192,Attack
7/3/2010,7:50:00 AM,0.336997878938157,0.0192,Attack
7/3/2010,8:00:00 AM,0.3413371003240031,0.0448,Attack
7/3/2010,8:10:00 AM,0.6717809282039382,0.1666,Attack
7/3/2010,8:20:00 AM,0.30455869141263286,0.027999999999999997,Attack
7/3/2010,8:30:00 AM,0.30840176480938186,0.027999999999999997,Attack
7/3/2010,8:40:00 AM,0.3120437190558925,0.027999999999999997,Attack
